Dang tai model YOLOv8l-pose ...
=== Train/climb: 379 video ===
  [21/158] OK 10_33.mp4 -> 59 frame, 4 chuoi
  [22/158] BO QUA 10_34.mp4 (chi co 0 frame co pose < 40)
  [23/158] OK 10_36.mp4 -> 209 frame, 34 chuoi
  [24/158] OK 10_37.mp4 -> 278 frame, 48 chuoi
  [25/158] OK 10_38.mp4 -> 227 frame, 38 chuoi
  [26/158] OK 10_4.mp4 -> 62 frame, 5 chuoi
  [27/158] OK 10_41.mp4 -> 204 frame, 33 chuoi
  [28/158] BO QUA 10_42.mp4 (chi co 0 frame co pose < 40)
  [29/158] OK 10_6.mp4 -> 100 frame, 13 chuoi
  [30/158] OK 10_7.mp4 -> 90 frame, 11 chuoi
  [31/158] OK 11_10.mp4 -> 193 frame, 31 chuoi
  [32/158] OK 11_11.mp4 -> 247 frame, 42 chuoi
  [33/158] OK 11_12.mp4 -> 175 frame, 28 chuoi
